,title,price,date,fuel,km,power_cv,displacement_cm3,consumption,seats,owners,sliding_doors
16295,"Renault Trafic ENERGY dCi 120 L1H1 3,0t Komfort",21896,09/2020,Diésel,62425,88.0,1997,,3,1,right
16296,Mercedes-Benz Sprinter 317 CDI KA Maxi / MBUX / AHK3.5to. / 36,30916,05/2021,Diésel,62415,125.0,1950,10.0,3,1,right
16297,Dacia Dokker Essentiel 1.Hand,7490,05/2015,Gasolina,62403,61.0,1598,7.3,5,1,right
16298,Volkswagen T6.1 Multivan TDI Gen. Six LED NAVI ACC KAMERA,45500,04/2021,Diésel,62380,110.0,1968,6.3,7,2,right
16299,Opel Combo Cargo 1.5 D Edition,13985,01/2021,Diésel,62304,75.0,1499,,2,1,right
16300,Mercedes-Benz Sprinter 314 CDI Hochraum Kasten/Kombi Mixto 6 S,29995,03/2017,Diésel,62303,105.0,2143,8.4,6,1,right
16301,Volkswagen T6 Multivan 2.0 TDI*PDC*TEMPO*SHZ*KLIMA*GARANTIE,37990,08/2018,Diésel,62293,110.0,1968,,6,2,right
16302,Volkswagen T6.1 Caravelle 2.0*TDI*KLIMA*AHK*PDC*,48970,04/2021,Diésel,62282,110.0,1968,7.3,8,1,right
16303,Mercedes-Benz Vito 116 *KA+EXTRALAN+NAVI+KAM+PTS+KLIMA+HECKTÜR,30892,05/2023,Diésel,62234,120.0,1950,7.5,3,1,right
16304,Volkswagen T6.1 Multivan 150PS ALU Navi Kamera Klima Temp-t,42900,07/2020,Diésel,62207,110.0,1968,6.5,7,1,right
16305,"Volkswagen T6 Transporter Kombi Lang LR 9 Sitze AHK SHZ PDC
30.990 € (bruto)
26.042 € (neto)",30990,07/2019,Diésel,62200,110.0,1968,,9,2,right
16306,Opel Combo E Cargo Edition erhöhte Nutzlast,12800,12/2020,Diésel,62169,75.0,1499,4.0,3,1,right
16307,Opel Combo Cargo 1.5 D S&S Edition/ Cool & Sound,14790,04/2020,Diésel,62160,56.0,1499,,2,1,right
16308,"Volkswagen T6.1, 2.0 TDI,DSG, ACC, SHZ,KR,PDC,RFK",27890,07/2020,Diésel,62150,110.0,1968,5.8,3,1,right
16309,Opel Combo Cargo 1.5 D S&S Edition Cool & Sound,14190,04/2020,Diésel,62112,56.0,1499,,2,1,right
16310,"Ford Transit Custom 340 L2H1 *9-Sitzer* NAVI (2819)
28.548 € (bruto)
23.990 € (neto)",28548,11/2020,Diésel,62050,96.0,1995,6.1,9,1,right
16311,Opel Combo 1.3 CDTI L1H1+KLIMA+RADIO+KOMFORTPAKET,6990,07/2014,Diésel,62000,66.0,1248,,2,1,right
16312,"Opel Combo D Edition L1H1/5-Sitzer/Klima/TüvNEU
7.990 € (bruto)",7990,02/2012,Gasolina,62000,70.0,1368,7.4,5,2,both-sided
16313,"Peugeot Expert 2.0 HDI Premium L3H1, 3000 KG AHK",15990,12/2020,Diésel,62000,90.0,1997,5.6,3,2,right
16314,Mercedes-Benz Vito Kasten 111 CDI 3Sitze Lang Navi Cam,15395,02/2019,Diésel,62000,84.0,1598,5.8,3,1,right
16315,"Volkswagen T6 Multivan Standheizung Klima AHK PDC Navi ACC
42.900 € (bruto)",42900,04/2018,Diésel,62000,110.0,1968,5.9,8,2,right
16316,Mercedes-Benz Viano 3.0 CDI Trend kompakt Automatik Sitzhzg,28990,04/2011,Diésel,62000,165.0,2987,8.5,6,1,right
16317,"Opel Combo E Cargo 1.5D HochLast PDC""3-Sz""",11790,07/2020,Diésel,62000,75.0,1499,4.0,3,1,right
